0,0.33,31.30,#,#,#,#,#,#,#,#,#,#,-9.79,-5.15,-2.84,0.26,0.23,-0.45,22.41,0,1000.00,*D7
81,47.40,41.10,#,#,#,#,#,#,#,185.42,0.32,23.17,37.62,0.57,0.73,10.32,0.02,-0.07,-0.01,23.26,0,1000.00,*D2
82,47.98,41.10,#,#,#,#,#,#,#,185.30,0.32,23.17,37.47,0.92,0.91,10.12,0.08,-0.17,-0.01,23.17,0,1000.00,*D7
83,48.56,41.10,#,#,#,#,#,#,#,185.24,0.32,23.17,37.14,0.43,0.85,10.78,-0.37,0.40,-0.04,23.21,0,1000.00,*EF
84,49.15,41.10,#,#,#,#,#,#,#,185.52,0.32,23.17,37.00,-0.18,2.60,10.49,1.21,0.37,0.00,23.21,0,1000.00,*B5
85,49.73,41.10,#,#,#,#,#,#,#,185.45,0.32,23.17,36.91,0.16,1.32,10.11,-0.11,0.11,-0.05,23.21,0,1000.00,*B8
86,50.31,41.10,#,#,#,#,#,#,#,185.44,0.32,23.18,36.74,-0.04,1.94,8.50,-0.17,-0.10,-0.09,23.26,0,1000.00,*25
87,50.90,41.10,#,#,#,#,#,#,#,185.31,0.32,23.18,36.58,1.32,0.97,10.64,-0.05,0.02,-0.03,23.26,0,1000.00,*AE
88,51.48,41.10,#,#,#,#,#,#,#,185.33,0.32,23.19,36.39,0.98,1.05,10.08,-0.17,0.14,-0.01,23.21,0,1000.00,*95
89,52.06,41.10,#,#,#,#,#,#,#,185.48,0.32,23.19,36.37,4.32,4.25,10.22,-1.14,0.36,-0.28,23.31,0,1000.00,*C5
90,52.65,41.10,#,#,#,#,#,#,#,185.38,0.32,23.19,36.84,-0.56,1.80,9.96,-0.00,0.57,-0.23,23.21,0,1000.00,*DB
91,53.23,41.10,#,#,#,#,#,#,#,185.26,0.32,23.20,37.96,-3.04,1.88,9.40,-0.07,0.03,-0.02,23.26,0,1000.00,*51
92,53.82,41.10,#,#,#,#,#,#,#,185.45,0.32,23.20,38.78,-1.88,1.91,9.88,-0.10,-0.91,0.18,23.26,0,1000.00,*B2
93,54.40,41.80,#,#,#,#,#,#,#,185.48,0.32,23.20,39.13,0.42,2.14,10.03,-0.16,0.11,-0.28,23.40,0,1000.00,*DE
94,54.98,41.80,#,#,#,#,#,#,#,185.55,0.32,23.20,39.06,0.37,1.13,5.00,-0.04,-0.78,0.04,23.26,0,1000.00,*39
95,55.56,41.80,#,#,#,#,#,#,#,185.56,0.32,23.20,38.70,1.05,0.37,9.84,-0.18,-0.22,-0.01,23.31,0,1000.00,*94
96,56.15,41.80,#,#,#,#,#,#,#,185.41,0.32,23.20,38.14,1.15,0.57,10.51,-0.10,0.21,-0.03,23.21,0,1000.00,*9F
97,56.73,41.80,#,#,#,#,#,#,#,185.51,0.32,23.21,38.29,0.73,0.35,9.91,0.16,0.07,0.20,23.26,0,1000.00,*83
98,57.31,41.80,#,#,#,#,#,#,#,185.47,0.32,23.20,39.30,0.67,0.61,10.39,-0.10,0.05,-0.08,23.31,0,1000.00,*6C
99,57.90,41.80,#,#,#,#,#,#,#,185.32,0.32,23.21,39.71,0.82,0.56,10.27,-0.06,0.02,-0.00,23.40,0,1000.00,*54
100,58.48,41.80,#,#,#,#,#,#,#,185.08,0.32,23.21,39.33,0.90,0.44,10.14,-0.06,0.03,-0.01,23.35,0,1000.00,*47
101,59.06,41.80,#,#,#,#,#,#,#,185.04,0.32,23.21,38.55,-0.47,-0.17,9.04,0.10,-0.02,-0.04,23.31,0,1000.00,*40
102,59.65,41.80,#,#,#,#,#,#,#,185.43,0.31,23.21,37.96,1.19,0.66,10.04,-0.11,0.07,-0.00,23.40,0,1000.00,*94
103,60.24,41.80,#,#,#,#,#,#,#,185.48,0.32,23.21,37.58,0.91,0.52,10.14,-0.06,0.02,-0.01,23.26,0,1000.00,*8C
104,60.82,41.80,#,#,#,#,#,#,#,185.48,0.32,23.22,37.33,1.12,0.54,10.05,0.06,-0.11,-0.01,23.21,0,1000.00,*D9
105,61.40,41.80,#,#,#,#,#,#,#,185.36,0.32,23.22,37.00,1.12,0.81,10.19,0.01,-0.08,-0.00,23.35,0,1000.00,*C4
106,61.99,41.80,#,#,#,#,#,#,#,185.63,0.32,23.22,36.67,1.35,0.89,10.11,-0.06,0.03,-0.02,23.45,0,1000.00,*B4
107,62.57,41.80,#,#,#,#,#,#,#,185.48,0.32,23.22,36.50,1.42,0.86,10.01,-0.07,0.03,-0.01,23.35,0,1000.00,*32
108,63.15,41.80,#,#,#,#,#,#,#,185.59,0.32,23.23,36.47,0.34,1.88,9.03,-0.13,-0.08,0.36,23.35,0,1000.00,*D8
109,63.74,42.50,#,#,#,#,#,#,#,185.44,0.32,23.22,36.68,1.42,0.57,10.11,-0.06,0.03,-0.01,23.40,0,1000.00,*1A
110,64.32,41.80,#,#,#,#,#,#,#,185.48,0.32,23.23,36.87,1.42,0.61,10.14,-0.07,0.04,-0.02,23.31,0,1000.00,*DC
111,64.91,42.50,#,#,#,#,#,#,#,185.66,0.31,23.24,37.00,1.33,0.58,10.16,-0.07,0.04,-0.01,23.40,0,1000.00,*73
112,65.50,42.50,#,#,#,#,#,#,#,185.61,0.32,23.24,37.20,1.33,0.59,10.17,-0.04,0.00,-0.02,23.31,0,1000.00,*96
113,66.08,41.80,#,#,#,#,#,#,#,185.58,0.32,23.24,37.71,0.70,0.42,10.22,-0.09,0.00,-0.26,23.45,0,1000.00,*8C
114,66.66,42.50,#,#,#,#,#,#,#,185.40,0.32,23.24,38.19,1.37,0.51,10.01,-0.06,0.06,-0.02,23.35,0,1000.00,*22
115,67.24,42.50,#,#,#,#,#,#,#,185.32,0.32,23.24,38.22,1.64,0.90,10.20,-0.16,0.09,-0.16,23.31,0,1000.00,*35
